Market,Facility,Sales Order #,Work Order #,Customer Reference Number,Alternate Reference Number,Booked Date,Sales Order Status,Work Order Status,Operational Status,Scheduling Status,Receiving Status,Work Order Hold Type,Status Updated Date,Order Category,Original Scheduled Date,Scheduled Date,Deliver By Date,Sales Order ClosedDate,Work Order ClosedDate,Days to First Call,Days to Schedule,Courtesy Call Date,First Schedule Attempt,First Offered Date,Last Call Date,First Schedule Date,Rescheduled Date,Scheduling Attempts,Not At Home Exception,Weather Exception,Refused Exception,Stop Exception,Item Exception,Base Services,Service Windows,Customer City,Customer State,CustomerZip,Customer loc Lattitude,Avg Miles Per Order
LMH Syracuse,LAST MILE HUB SYRACUSE,000005ML4A4G8000004000,000005ML4AB50000006000,1000157613-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/24/2021,Service Only,2/17/2021,2/24/2021,2/24/2021,2/24/2021,2/24/2021,,,,,2/17/2021,,,2/24/2021,4,,,,,,Assembly Only,13:00:00 - 17:00:00,ADAMS CENTER,NY,13606,43.8934877000,65
LMH Union City,LAST MILE HUB UNION CITY,0000061ED8IPA000004000,0000061ED8KRM000006000,1000218447-Relo,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/23/2021,Service Only,4/21/2021,4/23/2021,4/23/2021,4/23/2021,4/23/2021,0,0,4/17/2021,4/16/2021,4/21/2021,4/20/2021,4/17/2021,4/23/2021,1,,,,"Out of Time Window,",,Wall to Wall Relocation,15:00:00 - 19:00:00,ALAMEDA,CA,94502,37.7477520000,18.18
LMH Albuquerque,LAST MILE HUB ALBUQUERQUE,000005R94KRP4000006000,000005R94KTVU000004000,TONAL1000116045-Repair,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/10/2021,Service Only,3/9/2021,3/10/2021,3/10/2021,3/10/2021,3/10/2021,,,,,4/16/2021,,,3/10/2021,1,,,,,,Assembly Only,12:00:00 - 16:00:00,ALBUQUERQUE,NM,87114,35.1981918000,10.85
LMH Albuquerque,LAST MILE HUB ALBUQUERQUE,000005VULN6JQ000006000,000005VULN8M4000002000,1000040808-WO,n/a,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/27/2021,Service Only,4/23/2021,4/23/2021,4/23/2021,4/27/2021,4/23/2021,,,,,4/23/2021,,,4/23/2021,1,,,,,,Service Call,11:00:00 - 15:00:00,ALBUQUERQUE,NM,87108,35.0659476000,6.74
LMH Austin,LAST MILE HUB AUSTIN,000005OS3G2MM000002001,000005OS3I1K8000002000,1000030599,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/1/2021,Service Only,3/1/2021,3/1/2021,3/1/2021,3/1/2021,3/1/2021,,,,,,,,3/1/2021,,,,,"Out of Time Window,",,Service Call,14:00:00 - 18:00:00,ALEDO,TX,76008,32.6893805000,207.06
LMH Ontario,LAST MILE HUB ONTARIO,000005KD6487S000004000,000005NOUIOM4000006000,1000152244-Relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/16/2021,Service Only,2/16/2021,2/16/2021,2/16/2021,2/16/2021,2/16/2021,,,,,3/1/2021,,,2/16/2021,,,,,,,Relocation - Pick Up,15:00:00 - 19:00:00,ALISO VIEJO,CA,92656,33.5820115000,46.15
LMH Dallas,LAST MILE HUB DALLAS,000005RKTU5VG000006000,000005RKTU7QQ000002000,1000188799-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,3/24/2021,3/24/2021,,,,,3/15/2021,,,3/24/2021,1,,,,,,Assembly Only,11:00:00 - 15:00:00,ALLEN,TX,75013,33.1432933000,51.41
LMH Dallas,LAST MILE HUB DALLAS,000006019FN4G000006000,000006019FOQ0000006000,1000213009-relo,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/8/2021,Service Only,5/12/2021,5/12/2021,5/12/2021,,,,,,,4/12/2021,,,5/12/2021,1,,,,,,Assembly Only,07:00:00 - 22:00:00,ALLEN,TX,75002,33.0712626000,50.63
LMH Oklahoma City,LAST MILE HUB OKLAHOMA CITY,000005LKUGOSA000002000,000005LKUGQUI000002000,1000155671-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/9/2021,Service Only,3/9/2021,3/9/2021,3/9/2021,3/9/2021,3/9/2021,,,,,,,,3/9/2021,1,,,,"Out of Time Window,",,Assembly Only,16:00:00 - 20:00:00,ALTUS,OK,73521,34.6532307000,141.72
LMH Boston,LAST MILE HUB BOSTON,000005R53U68G000006000,000005R53U7RG000006000,1000193763-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/29/2021,Service Only,3/29/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,,,,,3/12/2021,,,3/29/2021,3,,,,,,Relocation - Pick Up,09:00:00 - 13:00:00,ANDOVER,MA,01810,42.6750199000,58.46
LMH Elizabeth,LAST MILE HUB ELIZABETH,000006143AM7I000004000,000006143AO76000002000,1000204858-relo,,2/2/2021,Open,Open,Ready to Route,Ready to Schedule,Not Applicable,No Hold,4/14/2021,Service Only,,1/1/1900,,,,,,,,4/20/2021,,,,3,,,,,,Assembly Only,,ANDOVER TOWNSHIP,NJ,07421,40.9696251000,59.26
LMH Union City,LAST MILE HUB UNION CITY,000005UMCT51A000006000,000005UMCT6N4000004000,1000208527-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/17/2021,Service Only,4/14/2021,4/16/2021,4/16/2021,4/17/2021,4/17/2021,,,,,4/2/2021,,,4/16/2021,4,,,,"Cannot Perform Stop,",,Repair Service,10:00:00 - 14:00:00,ANTIOCH,CA,94531,37.9642862000,61.67
LMH Union City,LAST MILE HUB UNION CITY,000005UMJQLO4000002000,000005UMJQO2S000006000,1000204507-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/16/2021,Service Only,4/16/2021,4/16/2021,4/16/2021,4/16/2021,4/16/2021,15,,4/15/2021,,4/2/2021,4/16/2021,,4/16/2021,2,,,,,,Assembly Only,11:00:00 - 15:00:00,ANTIOCH,CA,94531,37.9642862000,61.67
LMH Raleigh,LAST MILE HUB RALEIGH,000005R56S8J0000002000,000005R56SA84000002000,1000191509-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/12/2021,Service Only,3/12/2021,3/12/2021,3/12/2021,3/12/2021,3/12/2021,,,,,3/13/2021,,,3/12/2021,1,,,,,,Assembly Only,16:00:00 - 20:00:00,APEX,NC,27523,35.7743450000,13.57
LMH Minneapolis,LAST MILE HUB MINNEAPOLIS,000005LQDSADK000004000,000005LQDSCHA000002000,TONAL1000111751,1000111751,2/2/2021,Completed,Completed,Complete,Date Scheduled,Not Applicable,No Hold,2/3/2021,Service Only,2/3/2021,2/3/2021,2/3/2021,2/3/2021,2/3/2021,,,,,2/8/2021,,,2/3/2021,,,,,,,Assembly Only,07:00:00 - 22:00:00,ARDEN HILLS,MN,55112,45.0747018000,20.42
LMH Minneapolis,LAST MILE HUB MINNEAPOLIS,000005M8UEV5U000004000,000005M8UF10E000004000,TONAL1000098898,1000098898,2/2/2021,Completed,Completed,Complete,Date Scheduled,Not Applicable,No Hold,2/6/2021,Service Only,2/6/2021,2/6/2021,2/6/2021,2/6/2021,2/6/2021,,,,,2/10/2021,,,2/6/2021,0,,,,,,Assembly Only,07:00:00 - 22:00:00,ARDEN HILLS,MN,55112,45.0779069000,20.75
LMH Dallas,LAST MILE HUB DALLAS,000005R56C72U000006000,000005R56C8TC000002000,1000110848-RELO,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/19/2021,Service Only,4/20/2021,5/4/2021,5/4/2021,,,42,42,4/19/2021,,3/23/2021,4/19/2021,4/19/2021,5/4/2021,0,,,,,,Assembly Only,07:00:00 - 22:00:00,ARGYLE,TX,76226,33.0966641000,38.03
LMH Dallas,LAST MILE HUB DALLAS,000005LL6CAK6000006000,000005LL6CCIC000006000,1000086412-WO,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/10/2021,Service Only,2/10/2021,2/10/2021,2/10/2021,2/10/2021,2/10/2021,,,,,2/5/2021,,,2/10/2021,1,,,,,,Repair Service,08:00:00 - 12:00:00,ARLINGTON,TX,76016,32.7069535000,9.85
LMH Dallas,LAST MILE HUB DALLAS,000006096JNGG000004000,000006096JPD8000002000,1000086412-WO,n/a,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/23/2021,Service Only,4/23/2021,4/23/2021,4/23/2021,4/23/2021,4/23/2021,13,4,4/22/2021,,4/14/2021,4/23/2021,4/12/2021,4/23/2021,1,,,,,,Service Call,08:00:00 - 12:00:00,ARLINGTON,TX,76016,32.7069535000,9.85
LMH Washington,LAST MILE HUB WASHINGTON,000005HLEP4DO000006000,000005MPO54TK000002000,1000104183-RELO,,2/2/2021,Completed,Cancelled,Cancelled,Ready to Schedule,Not Applicable,No Hold,2/10/2021,Service Only,,1/1/1900,,,,,,,,2/15/2021,,,,3,,,,,,Relocation - Delivery with Installation 0-50 miles,06:00:00 - 18:00:00,ARLINGTON,VA,22207,38.8917557000,22.51
LMH Washington,LAST MILE HUB WASHINGTON,000005QBCDG9I000002000,000005QBCDICO000006000,1000191683-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/10/2021,Service Only,3/10/2021,3/10/2021,3/10/2021,3/10/2021,3/10/2021,,,,,3/8/2021,,,3/10/2021,4,,,,"Out of Time Window,",,Relocation - Pick Up,14:00:00 - 18:00:00,ARLINGTON,VA,22202,38.8565792000,26.23
LMH Washington,LAST MILE HUB WASHINGTON,000005RPO9QNE000002000,000005RPO9SUC000004000,1000198298-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/27/2021,Service Only,3/27/2021,4/27/2021,4/27/2021,4/27/2021,4/27/2021,,,,,3/18/2021,,,4/27/2021,3,,,,,,Relocation - Pick Up,13:00:00 - 17:00:00,ARLINGTON,VA,22207,38.9121916000,21.38
LMH Washington,LAST MILE HUB WASHINGTON,000005RPOK98K000002000,000005RPOKBEM000002000,1000198298-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/27/2021,Service Only,4/17/2021,4/27/2021,4/27/2021,4/27/2021,4/27/2021,35,35,4/16/2021,,3/18/2021,4/26/2021,4/16/2021,4/27/2021,1,,,,,,Relocation - Delivery with Installation 0-50 miles,13:00:00 - 17:00:00,ARLINGTON,VA,22207,38.9168793000,21.5
LMH Washington,LAST MILE HUB WASHINGTON,0000062D1T2H2000002000,0000062D1T4QS000002000,1000222601-Relo,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/22/2021,Service Only,6/14/2021,6/14/2021,6/14/2021,,,0,0,4/22/2021,4/22/2021,4/28/2021,4/22/2021,4/22/2021,6/14/2021,2,,,,,,Assembly Only,07:00:00 - 22:00:00,ARLINGTON,VA,22202,38.8597637000,27.36
LMH Portland,LAST MILE HUB PORTLAND,000005M45O6FE000006000,000005M45O8IO000002000,TONAL1000090938,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/9/2021,Service Only,3/9/2021,3/9/2021,3/9/2021,3/9/2021,3/9/2021,,,,,,,,3/9/2021,1,,,,"Out of Time Window,",,Service Call,12:00:00 - 16:00:00,ASHLAND,OR,97520,42.2006004000,291.56
LMH Portland,LAST MILE HUB PORTLAND,000005MVIOHJI000004000,000005MVIOJBI000002000,1000090938-SERVICE TICKET,,2/2/2021,Void,Cancelled,Cancelled,Ready to Schedule,Not Applicable,No Hold,2/26/2021,Service Only,,1/1/1900,,,,,,,,,,,,2,,,,,,Service Call,06:00:00 - 18:00:00,ASHLAND,OR,97520,42.2006004000,291.56
LMH Union City,LAST MILE HUB UNION CITY,000005P27VU8C000004000,000005P280032000004000,1000182293-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/6/2021,Service Only,2/27/2021,3/6/2021,3/6/2021,3/6/2021,3/6/2021,,,,,2/26/2021,,,3/6/2021,2,,,,,,Relocation - Delivery with Installation 0-50 miles,13:00:00 - 17:00:00,ATHERTON,CA,94027,37.4623781000,20
LMH Atlanta,LAST MILE HUB ATLANTA,000005O82I2PM000006000,000005O82I4UU000004000,TONAL1000115904,,2/2/2021,Completed,Completed,Complete,Date Scheduled,Not Applicable,No Hold,2/19/2021,Service Only,2/19/2021,2/19/2021,2/19/2021,2/19/2021,2/19/2021,,,,,2/22/2021,,,2/19/2021,,,,,,,Assembly Only,07:00:00 - 22:00:00,ATLANTA,GA,30305,33.8396320000,16.97
LMH Atlanta,LAST MILE HUB ATLANTA,000005SND1478000006000,000005SND16CQ000004000,1000119907,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/24/2021,Service Only,3/24/2021,3/24/2021,3/24/2021,,3/24/2021,,,,,3/20/2021,,,3/24/2021,,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Assembly Only,10:00:00 - 14:00:00,ATLANTA,GA,30324,33.8206102000,23.7
LMH Atlanta,LAST MILE HUB ATLANTA,000005SND1478000006000,000005TMACD96000006000,1000119907,,2/2/2021,Completed,Cancelled,Cancelled,Ready to Schedule,Not Applicable,No Hold,4/25/2021,Service Only,,1/1/1900,,,,,,,,4/15/2021,,,,4,,,,,,Assembly Only,06:00:00 - 18:00:00,ATLANTA,GA,30324,33.8206102000,23.7
LMH Atlanta,LAST MILE HUB ATLANTA,000005UVNIAS4000002000,000005UVNIFLS000006000,1000209650-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/16/2021,Service Only,4/16/2021,4/16/2021,4/16/2021,4/16/2021,4/16/2021,,,,,4/3/2021,,,4/16/2021,2,,,,,,Relocation - Pick Up,12:00:00 - 16:00:00,ATLANTA,GA,30309,33.7789093000,20.52
LMH Atlanta,LAST MILE HUB ATLANTA,000005UVNQ8H4000006000,000005UVNQC76000002000,1000209650-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/16/2021,Service Only,4/16/2021,4/16/2021,4/16/2021,4/16/2021,4/16/2021,14,,4/15/2021,,4/3/2021,4/15/2021,,4/16/2021,1,,,,"Out of Time Window,",,Relocation - Delivery with Installation 0-50 miles,12:00:00 - 16:00:00,ATLANTA,GA,30308,33.7753720000,20.65
LMH Atlanta,LAST MILE HUB ATLANTA,000005V6166BI000002000,000005V6169BA000004000,1000208531-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/7/2021,Service Only,4/7/2021,4/7/2021,4/7/2021,4/7/2021,4/7/2021,,,,,4/7/2021,,,4/7/2021,1,,,,,,Wall to Wall Relocation,13:00:00 - 17:00:00,ATLANTA,GA,30306,33.7833295000,21.23
LMH Atlanta,LAST MILE HUB ATLANTA,00000617SVU0O000004000,00000617T05TQ000002000,TONAL00200217MKT,00200217-MKT,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/16/2021,Service Only,4/16/2021,4/16/2021,4/16/2021,4/16/2021,4/16/2021,0,0,4/15/2021,4/15/2021,4/17/2021,4/15/2021,4/15/2021,4/16/2021,2,,,,,,Assembly Only,11:00:00 - 15:00:00,ATLANTA,GA,30326,33.8528035000,22.51
LMH Atlanta,LAST MILE HUB ATLANTA,0000063278OFC000006000,0000063278Q4I000004000,1000224294-relo,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/26/2021,Service Only,5/28/2021,5/28/2021,5/28/2021,,,,,,,4/29/2021,,,5/28/2021,2,,,,,,Relocation - Pick Up,07:00:00 - 22:00:00,ATLANTA,GA,30316,33.7304483000,26.25
LMH Jacksonville,LAST MILE HUB JACKSONVILLE,000005N9FBH10000004000,000005N9FBJ9E000002000,1000150820-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/2/2021,Service Only,2/17/2021,3/2/2021,3/2/2021,3/2/2021,3/2/2021,,,,,2/17/2021,,,3/2/2021,1,,,,,,Assembly Only,09:00:00 - 13:00:00,ATLANTIC BEACH,FL,32233,30.3355904000,26.03
LMH Denver,LAST MILE HUB DENVER,000005M5GHUL6000002000,000005M5GI0TC000006000,1000085910-RELO,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/16/2021,Service Only,2/16/2021,2/16/2021,2/16/2021,2/16/2021,2/16/2021,,,,,2/16/2021,,,2/16/2021,5,,,,,,Wall to Wall Relocation,09:00:00 - 13:00:00,AURORA,CO,80012,39.7081952000,6.44
LMH Austin,LAST MILE HUB AUSTIN,000005FTS69KK000004000,000005LL3A5KG000006000,13361004-WO-AC,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,2/11/2021,Service Only,2/11/2021,2/11/2021,2/11/2021,2/11/2021,2/11/2021,,,,,2/6/2021,,,2/11/2021,6,,,,,,Service Call,11:00:00 - 15:00:00,AUSTIN,TX,78704,30.2453457000,18.51
LMH Austin,LAST MILE HUB AUSTIN,000005N4GGNA0000004000,000005N4GGP2O000006000,1000164037-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/4/2021,Service Only,2/18/2021,3/4/2021,3/4/2021,3/16/2021,3/4/2021,,,,,2/16/2021,,,3/4/2021,10,Not At Home/Business Closed,,,"Cannot Perform Stop,",,Relocation - Pick Up,16:00:00 - 20:00:00,AUSTIN,TX,78723,30.3016705000,13.33
LMH Austin,LAST MILE HUB AUSTIN,000005N4GGNA0000004000,000005QKK6FLO000002000,1000164037-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/16/2021,Service Only,3/16/2021,3/16/2021,3/16/2021,3/16/2021,3/16/2021,,,,,3/11/2021,,,3/16/2021,2,,,,,,Relocation - Pick Up,14:00:00 - 18:00:00,AUSTIN,TX,78723,30.3016705000,13.33
LMH Austin,LAST MILE HUB AUSTIN,000005N4GNIDC000002000,000005N4GNKG8000006000,1000164037-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/6/2021,Service Only,3/6/2021,3/6/2021,3/6/2021,3/16/2021,3/6/2021,,,,,2/15/2021,,,3/6/2021,1,,,,"Cannot Perform Stop,",,Relocation - Delivery with Installation 0-50 miles,12:00:00 - 16:00:00,AUSTIN,TX,78739,30.1835133000,27.16
LMH Austin,LAST MILE HUB AUSTIN,000005N4GNIDC000002000,000005QQ1B6VS000006000,1000164037-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/16/2021,Service Only,3/16/2021,3/16/2021,3/16/2021,3/16/2021,3/16/2021,,,,,3/10/2021,,,3/16/2021,5,,,,,,Relocation - Delivery with Installation 0-50 miles,14:00:00 - 18:00:00,AUSTIN,TX,78739,30.1835133000,27.16
LMH Austin,LAST MILE HUB AUSTIN,000005O325B3A000004000,000005O325F2K000002000,1000002268-Relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/5/2021,Service Only,3/5/2021,3/5/2021,3/5/2021,3/8/2021,3/5/2021,,,,,2/20/2021,,,3/5/2021,,,,,"Cannot Perform Stop,",,Assembly Only,16:00:00 - 20:00:00,AUSTIN,TX,78701,30.2677479000,16.44
LMH Austin,LAST MILE HUB AUSTIN,000005O325B3A000004000,000005QLN4V2S000004000,1000002268-Relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/8/2021,Service Only,3/8/2021,3/8/2021,3/8/2021,3/8/2021,3/8/2021,,,,,3/10/2021,,,3/8/2021,,,,,"Out of Time Window,",,Assembly Only,10:00:00 - 14:00:00,AUSTIN,TX,78701,30.2677479000,
LMH Austin,LAST MILE HUB AUSTIN,000005TCTL8NE000004000,000005TCTLAHG000006000,1000202822-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/9/2021,Service Only,3/30/2021,4/9/2021,4/9/2021,4/9/2021,4/9/2021,,,,,3/25/2021,,,4/9/2021,2,,,,"Out of Time Window,",,Assembly Only,14:00:00 - 18:00:00,AUSTIN,TX,78747,30.1356120000,25.94
LMH Austin,LAST MILE HUB AUSTIN,000005UMAQBUU000004000,000005UMAQEBE000002000,1000204008-relocatio,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,3/30/2021,Service Only,5/3/2021,5/6/2021,5/6/2021,,,,,,,4/2/2021,,,5/6/2021,2,,,,,,Assembly Only,07:00:00 - 22:00:00,AUSTIN,TX,78738,30.2892617000,25.84
LMH Austin,LAST MILE HUB AUSTIN,000005URM7AHO000002000,000005URM7D70000002000,1000205312-Reloc,,2/2/2021,Open,Open,Routed,Appointment Scheduled,Not Applicable,No Hold,4/27/2021,Service Only,4/29/2021,4/29/2021,4/29/2021,,,,,,,4/9/2021,,,4/29/2021,2,,,,,,Assembly Only,14:00:00 - 18:00:00,AUSTIN,TX,78746,30.3365464000,13.92
LMH Austin,LAST MILE HUB AUSTIN,000005URMNCH4000004000,000005URMNEKA000002000,1000208713-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/10/2021,Service Only,4/10/2021,4/10/2021,4/10/2021,4/10/2021,4/10/2021,,,,,4/9/2021,,,4/10/2021,2,,,,,,Relocation - Pick Up,09:00:00 - 13:00:00,AUSTIN,TX,78757,30.3473849000,12.63
LMH Austin,LAST MILE HUB AUSTIN,000005URMRT4U000006000,000005URMRVN2000006000,1000208713-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/10/2021,Service Only,4/10/2021,4/10/2021,4/10/2021,4/10/2021,4/10/2021,,,,,4/9/2021,,,4/10/2021,2,,,,,,Relocation - Delivery with Installation 0-50 miles,09:00:00 - 13:00:00,AUSTIN,TX,78731,30.3651101000,10.63
LMH Austin,LAST MILE HUB AUSTIN,000005URPDCJ4000002000,000005URPDEKM000006000,00066429-Relocation,,2/2/2021,Completed,Completed,Complete,Date Scheduled,Not Applicable,No Hold,4/10/2021,Service Only,4/9/2021,4/9/2021,4/9/2021,4/10/2021,4/9/2021,,,,,4/9/2021,,,4/9/2021,,,,,"Out of Time Window,",,Assembly Only,12:00:00 - 16:00:00,AUSTIN,TX,78758,30.3955822000,6.39
LMH Austin,LAST MILE HUB AUSTIN,0000061TU493U000004000,0000061TU4B2E000006000,1000219080-relo,,2/2/2021,Open,Open,Ready to Route,Ready to Schedule,Not Applicable,No Hold,4/19/2021,Service Only,,1/1/1900,,,,,,,4/19/2021,4/22/2021,,,,2,,,,,,Assembly Only,,AUSTIN,TX,78703,30.2941828000,15.53
LMH Austin,LAST MILE HUB AUSTIN,000006239QS34000002000,000006239QTTS000006000,1000219715-relo,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/20/2021,Service Only,6/10/2021,6/10/2021,6/10/2021,,,0,0,4/21/2021,4/20/2021,4/23/2021,4/21/2021,4/21/2021,6/10/2021,2,,,,,,Assembly Only,07:00:00 - 22:00:00,AUSTIN,TX,78738,30.3261122000,29.51
LMH Austin,LAST MILE HUB AUSTIN,00000636SLBK0000006000,00000636SLDN4000006000,1000218060-Relocatio,,2/2/2021,Open,Open,Ready to Route,Ready to Schedule,Not Applicable,No Hold,4/27/2021,Service Only,,1/1/1900,,,,,,,4/27/2021,5/13/2021,,,,1,,,,,,Assembly Only,,AUSTIN,TX,78732,30.3527044000,41.17
LMH Philadelphia,LAST MILE HUB PHILADELPHIA,000005TCTDENA000002000,000005TCTDGI8000006000,1000203322-relocatio,,2/2/2021,In Progress,In Progress,Out for Service,Appointment Scheduled,Not Applicable,No Hold,4/28/2021,Service Only,4/28/2021,4/28/2021,4/28/2021,,,35,,4/26/2021,,3/31/2021,4/26/2021,,4/28/2021,6,,,,,,Assembly Only,10:00:00 - 14:00:00,AVALON,NJ,08202,39.1078621000,66.4
LMH Miami,LAST MILE HUB MIAMI,000005UPQ33B2000006000,000005UPQ35AK000006000,YTI-106191-2,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/1/2021,Service Only,4/1/2021,4/1/2021,4/1/2021,4/4/2021,4/1/2021,,,,,4/5/2021,,,4/1/2021,,,,,"Cannot Perform Stop,",,Assembly Only,12:00:00 - 16:00:00,AVENTURA,FL,33180,25.9572966000,27
LMH Miami,LAST MILE HUB MIAMI,000005UPQ33B2000006000,000005UVBHT34000006000,YTI-106191-2,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/4/2021,Service Only,4/3/2021,4/3/2021,4/3/2021,4/4/2021,4/4/2021,,,,,4/5/2021,,,4/3/2021,1,,,,,,Assembly Only,10:00:00 - 14:00:00,AVENTURA,FL,33180,25.9572966000,27
LMH Indianapolis,LAST MILE HUB INDIANAPOLIS,000005VLAKVR4000006000,000005VLAL1CQ000004000,1000210868-relocatio,,2/2/2021,Open,Open,Ready to Route,Date Scheduled,Not Applicable,No Hold,4/5/2021,Service Only,5/8/2021,5/13/2021,5/13/2021,,,,,,,4/8/2021,,,5/13/2021,2,,,,,,Relocation - Delivery with Installation 0-50 miles,07:00:00 - 22:00:00,AVON,IN,46123,39.7918934000,26.6
LMH Fresno,LAST MILE HUB FRESNO,000005Q147KLE000002000,000005Q147OJO000002000,1000185262-relocatio,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,3/8/2021,Service Only,3/8/2021,3/8/2021,3/8/2021,3/8/2021,3/8/2021,,,,,3/8/2021,,,3/8/2021,3,,,,,,Assembly Only,12:00:00 - 16:00:00,BAKERSFIELD,CA,93313,35.2792600000,110.38
LMH Baltimore,LAST MILE HUB BALTIMORE,0000060Q8FCLA000004000,0000060Q8FENQ000004000,1000213304-Relo,,2/2/2021,Completed,Completed,Complete,Appointment Scheduled,Not Applicable,No Hold,4/19/2021,Service Only,4/19/2021,4/19/2021,4/19/2021,4/19/2021,4/19/2021,,,,,4/16/2021,,,4/19/2021,3,,,,,,Relocation - Pick Up,10:00:00 - 14:00:00,BALTIMORE,MD,21225,39.2055362000,10.9
LMH Oklahoma City,LAST MILE HUB OKLAHOMA CITY,0000062LI9FIQ000004000,0000062LI9HFQ000006000,TONAL1000128613RMA,1000128613-RMA,2/2/2021,Open,Open,Routed,Appointment Scheduled,Not Applicable,No Hold,4/24/2021,Service Only,4/29/2021,4/29/2021,4/29/2021,,,0,0,4/24/2021,,,4/24/2021,4/24/2021,4/29/2021,0,,,,,,Assembly Only,09:00:00 - 13:00:00,BEAVER,OK,73932,36.8134050000,225.32
LMH Portland,LAST MILE HUB PORTLAND,000005LP36FIM000004000,000005LP36HGK000002000,TONAL1000102588-WO-REINSTALL,1000102588,2/2/2021,Completed,Completed,Complete,Date Scheduled,Not Applicable,No Hold,2/22/2021,Service Only,2/22/2021,2/22/2021,2/22/2021,2/22/2021,2/22/2021,,,,,2/9/2021,,,2/22/2021,10,,,,,,Assembly Only,07:00:00 - 22:00:00,BEAVERTON,OR,97005,45.4805008000,15.39
